,0
0,Ghosts
1,Delivery Club
2,Ralph and Mushrooms
3,Row of Models
4,Fafa and Ancient Alphabet
5,Danil and a Part-time Job
6,Row
7,XOR-pyramid
8,Mahmoud and Ehab and the xor-MST
9,Arkady and Rectangles
10,Kuro and Topological Parity
11,Pathwalks
12,Lust
13,Stranger Trees
14,Posterized
15,Our Tanya is Crying Out Loud
16,Rounding
17,New Year and Boolean Bridges
18,Letters Removing
19,Minimal Subset Difference
20,Supermarket
21,Seating of Students
22,Finite or not?
23,Mahmoud and Ehab and the wrong algorithm
24,Binary Cards
25,Curfew
26,Cashback
27,Months and Years
28,Little Brother
29,Game
30,Data Center Maintenance
31,Substring
32,NN country
33,Perfect Groups
34,Splits
35,Tritonic Iridescence
36,Perfect Number
37,Weighting a Tree
38,Find Extra One
39,Ratings and Reality Shows
40,Div. 64
41,Congruence Equation
42,Laboratory Work
43,Riverside Curio
44,Picking Strings
45,Solution for Cube
46,Iqea
47,Fafa and his Company
48,Mahmoud and Ehab and the even-odd game
49,Tic-Tac-Toe
50,"Welcome home, Chtholly"
51,Teams Formation
52,Three-level Laser
53,Astronomy
54,Shovel Sale
55,Lock Puzzle
56,Divisiblity of Differences
57,Circles of Waiting
58,Don't Exceed
59,Alex and broken contest
60,Treasure Hunt
61,Envy
62,Cloning Toys
63,A Game With Numbers
64,Vlad and Cafes
65,Phone Numbers
66,Mahmoud and Ehab and another array construction task
67,Alarm Clock
68,Party
69,Parametric Circulation
70,Pride
71,Tournament
72,A Creative Cutout
73,The Meeting Place Cannot Be Changed
74,New Year and Curling
75,Coloring a Tree
76,Alternating Tree
77,AND-permutations
78,Squares and not squares
79,Check the string
80,Mahmoud and Ehab and yet another xor task
81,Ralph And His Magic Field
82,Bus of Characters
83,Producing Snow
84,Modular Exponentiation
85,Scarborough Fair
86,Trip For Meal
87,Sorting the Coins
88,Short Program
89,Coprocessor
90,Heaps
91,"Left-handers, Right-handers and Ambidexters"
92,Robot Vacuum Cleaner
93,Hamster Farm
94,GCD of Polynomials
95,Olympiad
96,Hag's Khashba
97,Slava and tanks
98,Perfect Security
99,Valhalla Siege
100,Fafa and Ancient Mathematics
101,Nephren gives a riddle
102,Teodor is not a liar!
103,Watering System
104,Eyes Closed
105,Mod Mod Mod
106,Intercepted Message
107,Cave Painting
108,Icicles
109,"Willem, Chtholly and Seniorious"
110,The Monster
111,Restoring the Expression
112,Mahmoud and Ehab and the message
113,Royal Questions
114,Zebras
115,Public Service
116,Christmas Spruce
117,New Year and Counting Cards
118,Fafa and the Gates
119,Cactus to Tree
120,Single-use Stones
121,Machine Learning
122,Love Triangle
123,Contact ATC
124,Shark
125,Marco and GCD Sequence
126,National Property
127,Maximize!
128,Coins Exhibition
129,Kuro and Walking Route
130,Birds
131,Cyclic Cipher
132,Petya and Catacombs
133,World Cup
134,Nephren Runs a Cinema
135,Stairs and Elevators
136,XK Segments
137,Billiard
138,Nikita and string
139,Fafa and Array
140,Logical Expression
141,Love Rescue
142,Visiting a Friend
143,Mind the Gap
144,Aztec Catacombs
145,Python Indentation
146,New Year and Original Order
147,Greed
148,Generate Login
149,Fifa and Fafa
150,Bipartite Segments
151,A Twisty Movement
152,Mystical Mosaic
153,Masha and Bears
154,Jamie and To-do List
155,Borya's Diagnosis
156,Reverses
157,Friends Meeting
158,Magic Breeding
159,Alena And The Heater
160,Party Lemonade
161,Ann and Books
162,"Pizza, Pizza, Pizza!!!"
163,Points on the line
164,New Year's Eve
165,Square Subsets
166,Kuro and GCD and XOR and SUM
167,Proper Nutrition
168,Remove Extra One
169,Numbers on the blackboard
170,Full Binary Tree Queries
171,Convenient For Everybody
172,Bandit Blues
173,Santa's Gift
174,Prime Gift
175,Fishes
176,Save Energy!
177,Olya and Energy Drinks
178,Scissors
179,Unusual Sequences
180,Seat Arrangements
181,Pollywog
182,Too Easy Problems
183,May Holidays
184,Jamie and Tree
185,Colorful Points
186,Feed the cat
187,Vile Grasshoppers
188,Divisibility
189,Magic Forest
190,High Cry
191,Classroom Watch
192,World of Tank
193,New Year and Arbitrary Arrangement
194,Dividing the numbers
195,Links and Pearls
196,Game with String
197,New Year and Entity Enumeration
198,Restoration of string
199,Minesweeper
200,Primal Sport
201,Short Code
202,Battleship
203,QAQ
204,Power Substring
205,Splitting in Teams
206,Perpetual Subtraction
207,Subsequence Counting
208,Table Tennis
209,String Mark
210,Elevator
211,Upside Down
212,Jamie and Binary Sequence (changed after round)
213,Shockers
214,Aramic script
215,Peculiar apple-tree
216,Marlin
217,A Preponderant Reunion
218,Protect Sheep
219,Position in Fraction
220,Alternating Sum
221,New Year and Rainbow Roads
222,Ithea Plays With Chtholly
223,Pizza Separation
224,A Colourful Prospect
225,Gluttony
226,Maximum Element
227,Minimize the error
228,A Prosperous Lot
229,A Compatible Pair
230,Paper Airplanes
231,Symmetric Projections
232,Wardrobe
233,Frequency of String
234,Cut 'em all!
235,MADMAX
236,ACM ICPC
237,Maximum Questions
238,New Year and Buggy Bot
239,Greedy Arkady
240,Destruction of a Tree
241,Jamie and Alarm Snooze
242,Not simply beatiful strings
243,Radio Station
244,Cutting Rectangle
245,A Determined Cleanup
246,Tricky Alchemy
247,Wrath
248,Jamie and Interesting Graph
249,Segments Removal
250,Chtholly's request
251,Cubes for Masha
252,Strongly Connected Tournament
253,Hashing Trees
254,Mancala
255,Big Secret
256,The Number Games
257,Game with Tokens
258,Segments
259,Sleepy Game
260,Sad powers
261,A Leapfrog in the Array
262,"Perun, Ult!"
263,Ralph And His Tour in Binary Country
264,Resource Distribution
265,Power Tower
266,Cutlet
267,Sloth
268,Messages
269,Eleven
